Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
66.1249923706	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.50	0
1.50	46.50	-45.00	672	0.0777777778	0.0000000000	2023.00	10
1.50	46.50	-45.00	670	0.0659340659	-0.0109890110	2023.00	16
1.50	46.50	-45.00	620	0.0659340659	-0.5604395604	2023.00	21
1.50	44.50	-43.00	521	0.0769230769	-1.6373626374	1940.00	31
1.50	40.50	-39.00	404	0.1098901099	-2.9230769231	1775.00	41
1.50	38.50	-37.00	274	0.1318681319	-4.3516483516	1691.00	51
1.50	37.50	-36.00	136	0.1318681319	-5.8681318681	1650.00	61
1.50	34.50	-33.00	-13	0.1538461538	-7.5054945055	1526.00	71
1.50	30.50	-29.00	-170	0.1868131868	-9.2307692308	1359.00	81
1.50	28.50	-27.00	-328	0.1978021978	-10.9560439560	1277.00	91
1.50	26.50	-25.00	-490	0.2222222222	-12.8777777778	1194.00	101
1.50	23.50	-22.00	-652	0.2555555556	-14.1222222222	1069.00	111
1.50	21.50	-20.00	-812	0.2555555556	-14.8111111111	986.00	121
1.50	19.50	-18.00	-976	0.2333333333	-15.3333333333	903.00	131
1.50	17.50	-16.00	-1143	0.2333333333	-15.7333333333	820.00	141
1.50	15.50	-14.00	-1309	0.2444444444	-16.0444444444	737.00	151
1.50	14.50	-13.00	-1478	0.2222222222	-16.2777777778	696.00	161
1.50	12.50	-11.00	-1647	0.2000000000	-16.4111111111	613.00	171
1.50	10.50	-9.00	-1813	0.2000000000	-16.5000000000	530.00	181
1.50	8.50	-7.00	-1980	0.2000000000	-16.5444444444	447.00	191
1.50	5.50	-4.00	-2145	0.2000000000	-16.5888888889	322.00	201
1.50	3.50	-2.00	-2305	0.2000000000	-16.5777777778	239.00	211
1.50	1.50	0.00	-2464	0.2000000000	-16.5333333333	157.00	221
1.50	-1.50	3.00	-2624	0.2111111111	-16.4555555556	-157.00	231
1.50	-2.50	4.00	-2772	0.2000000000	-16.2666666667	-198.00	241
1.50	-4.50	6.00	-2886	0.2111111111	-15.6555555556	-281.00	251
1.50	-6.50	8.00	-2922	0.2111111111	-14.1777777778	-364.00	261
1.50	-3.50	5.00	-2940	0.1555555556	-12.5444444444	-239.00	271
1.50	-3.50	5.00	-2940	0.1333333333	-10.7000000000	-239.00	281
1.50	-4.50	6.00	-2919	0.1111111111	-8.6333333333	-281.00	291
1.50	-5.50	7.00	-2853	0.1000000000	-6.1333333333	-322.00	301
1.50	0.50	1.00	-2779	0.0111111111	-3.5333333333	115.00	311
1.50	0.50	1.00	-2702	-0.0222222222	-0.9111111111	115.00	321
1.50	0.50	1.00	-2657	-0.0333333333	1.2555555556	115.00	331
1.50	1.50	0.00	-2638	-0.0666666667	2.7444444444	157.00	341
1.50	1.50	0.00	-2613	-0.0888888889	3.4222222222	157.00	351
1.50	2.50	-1.00	-2608	-0.0666666667	3.6777777778	198.00	361
1.50	2.50	-1.00	-2614	-0.0666666667	3.6333333333	198.00	371
1.50	1.50	0.00	-2655	-0.0666666667	2.9555555556	157.00	381
1.50	0.50	1.00	-2705	-0.0666666667	1.6666666667	115.00	391
1.50	0.50	1.00	-2758	0.0000000000	0.2555555556	115.00	401
1.50	0.50	1.00	-2813	0.0000000000	-1.2111111111	115.00	411
1.50	-0.50	2.00	-2866	0.0111111111	-2.3222222222	-115.00	421
1.50	-1.50	3.00	-2923	0.0333333333	-3.1666666667	-157.00	431
1.50	-1.50	3.00	-2964	0.0333333333	-3.8888888889	-157.00	441
1.50	-1.50	3.00	-2989	0.0444444444	-4.2333333333	-157.00	451
1.50	-1.50	3.00	-2988	0.0444444444	-4.1666666667	-157.00	461
1.50	-1.50	3.00	-2971	0.0333333333	-3.5333333333	-157.00	471
1.50	-0.50	2.00	-2946	0.0111111111	-2.6888888889	-115.00	481
1.50	-0.50	2.00	-2921	0.0111111111	-1.8333333333	-115.00	491
1.50	0.50	1.00	-2893	0.0000000000	-0.9000000000	115.00	501
1.50	0.50	1.00	-2862	-0.0111111111	0.0333333333	115.00	511
1.50	1.50	0.00	-2840	-0.0333333333	0.9222222222	157.00	521
1.50	1.50	0.00	-2831	-0.0333333333	1.4666666667	157.00	531
1.50	1.50	0.00	-2836	-0.0333333333	1.7000000000	157.00	541
1.50	1.50	0.00	-2848	-0.0333333333	1.5555555556	157.00	551
1.50	1.50	0.00	-2869	-0.0333333333	1.1555555556	157.00	561
1.50	1.50	0.00	-2894	-0.0222222222	0.5888888889	157.00	571
1.50	1.50	0.00	-2926	-0.0222222222	-0.0444444444	157.00	581
1.50	1.50	0.00	-2959	-0.0111111111	-0.7333333333	157.00	591
1.50	1.50	0.00	-2994	-0.0111111111	-1.4444444444	157.00	601
1.50	1.50	0.00	-3033	0.0000000000	-2.1333333333	157.00	611
1.50	0.50	1.00	-3080	0.0111111111	-2.7555555556	115.00	621
1.50	0.50	1.00	-3133	0.0111111111	-3.2888888889	115.00	631
1.50	0.50	1.00	-3184	0.0111111111	-3.7333333333	115.00	641
1.50	-0.50	2.00	-3233	0.0222222222	-4.0555555556	-115.00	651
1.50	-0.50	2.00	-3281	0.0222222222	-4.3111111111	-115.00	661
1.50	-0.50	2.00	-3322	0.0222222222	-4.3888888889	-115.00	671
1.50	-0.50	2.00	-3353	0.0222222222	-4.3666666667	-115.00	681
1.50	-0.50	2.00	-3369	0.0222222222	-4.1777777778	-115.00	691
1.50	-0.50	2.00	-3378	0.0222222222	-3.8444444444	-115.00	701
1.50	-0.50	2.00	-3378	0.0111111111	-3.3222222222	-115.00	711
1.50	-0.50	2.00	-3371	0.0111111111	-2.6666666667	-115.00	721
1.50	0.50	1.00	-3358	0.0000000000	-1.9333333333	115.00	731
1.50	0.50	1.00	-3342	-0.0111111111	-1.2111111111	115.00	741
1.50	1.50	0.00	-3332	-0.0222222222	-0.5666666667	157.00	751
1.50	1.50	0.00	-3333	-0.0222222222	-0.1222222222	157.00	761
1.50	1.50	0.00	-3345	-0.0222222222	0.0888888889	157.00	771
1.50	1.50	0.00	-3365	-0.0222222222	0.0444444444	157.00	781
1.50	1.50	0.00	-3392	-0.0222222222	-0.1555555556	157.00	791
1.50	1.50	0.00	-3425	-0.0222222222	-0.5111111111	157.00	801
1.50	1.50	0.00	-3462	-0.0222222222	-1.0000000000	157.00	811
1.50	1.50	0.00	-3502	-0.0111111111	-1.6000000000	157.00	821
1.50	0.50	1.00	-3548	0.0000000000	-2.2777777778	115.00	831
1.50	0.50	1.00	-3596	0.0111111111	-2.9222222222	115.00	841
1.50	0.50	1.00	-3647	0.0111111111	-3.4888888889	115.00	851
1.50	-0.50	2.00	-3697	0.0222222222	-3.9111111111	-115.00	861
1.50	-1.50	3.00	-3744	0.0333333333	-4.2000000000	-157.00	871
1.50	-1.50	3.00	-3780	0.0333333333	-4.3111111111	-157.00	881
1.50	-1.50	3.00	-3798	0.0333333333	-4.1555555556	-157.00	891
1.50	-1.50	3.00	-3795	0.0333333333	-3.7000000000	-157.00	901
1.50	-0.50	2.00	-3780	0.0222222222	-3.1000000000	-115.00	911
1.50	-0.50	2.00	-3758	0.0111111111	-2.3555555556	-115.00	921
1.50	0.50	1.00	-3734	0.0000000000	-1.5444444444	115.00	931
1.50	1.50	0.00	-3710	-0.0111111111	-0.7111111111	157.00	941
1.50	1.50	0.00	-3693	-0.0222222222	0.0333333333	157.00	951
1.50	1.50	0.00	-3693	-0.0333333333	0.5555555556	157.00	961
1.50	1.50	0.00	-3708	-0.0333333333	0.8000000000	157.00	971
1.50	1.50	0.00	-3729	-0.0333333333	0.7666666667	157.00	981
1.50	1.50	0.00	-3757	-0.0333333333	0.4333333333	157.00	991
1.50	1.50	0.00	-3792	-0.0222222222	-0.1222222222	157.00	1001
1.50	0.50	1.00	-3829	-0.0111111111	-0.7666666667	115.00	1011
1.50	0.50	1.00	-3870	0.0000000000	-1.5111111111	115.00	1021
1.50	-0.50	2.00	-3913	0.0222222222	-2.2555555556	-115.00	1031
1.50	-0.50	2.00	-3953	0.0222222222	-2.8888888889	-115.00	1041
1.50	-1.50	3.00	-3980	0.0333333333	-3.1888888889	-157.00	1051
1.50	-1.50	3.00	-3998	0.0333333333	-3.2222222222	-157.00	1061
1.50	-1.50	3.00	-4003	0.0333333333	-3.0444444444	-157.00	1071
1.50	-0.50	2.00	-3997	0.0222222222	-2.6777777778	-115.00	1081
1.50	-0.50	2.00	-3978	0.0222222222	-2.0666666667	-115.00	1091
1.50	0.50	1.00	-3953	0.0000000000	-1.4000000000	115.00	1101
1.50	1.50	0.00	-3930	-0.0111111111	-0.6777777778	157.00	1111
1.50	1.50	0.00	-3912	-0.0222222222	0.0111111111	157.00	1121
1.50	1.50	0.00	-3913	-0.0222222222	0.4444444444	157.00	1131
1.50	1.50	0.00	-3928	-0.0333333333	0.5888888889	157.00	1141
1.50	1.50	0.00	-3949	-0.0333333333	0.5444444444	157.00	1151
1.50	1.50	0.00	-3976	-0.0333333333	0.3000000000	157.00	1161
1.50	0.50	1.00	-4009	-0.0111111111	-0.1222222222	115.00	1171
1.50	0.50	1.00	-4046	-0.0111111111	-0.7555555556	115.00	1181
1.50	-0.50	2.00	-4083	0.0111111111	-1.4333333333	-115.00	1191
1.50	-0.50	2.00	-4116	0.0222222222	-2.0555555556	-115.00	1201
1.50	-0.50	2.00	-4138	0.0222222222	-2.5111111111	-115.00	1211
1.50	-0.50	2.00	-4152	0.0222222222	-2.6555555556	-115.00	1221
1.50	-0.50	2.00	-4158	0.0222222222	-2.5666666667	-115.00	1231
1.50	-0.50	2.00	-4157	0.0222222222	-2.3111111111	-115.00	1241
1.50	0.50	1.00	-4153	0.0111111111	-1.9666666667	115.00	1251
1.50	0.50	1.00	-4150	0.0000000000	-1.5777777778	115.00	1261
1.50	0.50	1.00	-4149	0.0000000000	-1.1444444444	115.00	1271
1.50	0.50	1.00	-4156	-0.0111111111	-0.8111111111	115.00	1281
1.50	0.50	1.00	-4167	-0.0111111111	-0.5666666667	115.00	1291
1.50	0.50	1.00	-4181	-0.0111111111	-0.4777777778	115.00	1301
1.50	0.50	1.00	-4197	-0.0111111111	-0.4888888889	115.00	1311
1.50	0.50	1.00	-4214	-0.0111111111	-0.6222222222	115.00	1321
1.50	0.50	1.00	-4233	-0.0111111111	-0.8444444444	115.00	1331
1.50	0.50	1.00	-4254	0.0000000000	-1.1222222222	115.00	1341
1.50	-0.50	2.00	-4281	0.0111111111	-1.4555555556	-115.00	1351
1.50	-0.50	2.00	-4304	0.0111111111	-1.7222222222	-115.00	1361
1.50	-0.50	2.00	-4317	0.0111111111	-1.7888888889	-115.00	1371
1.50	-0.50	2.00	-4319	0.0111111111	-1.6888888889	-115.00	1381
1.50	-0.50	2.00	-4315	0.0111111111	-1.4888888889	-115.00	1391
1.50	0.50	1.00	-4310	0.0000000000	-1.2777777778	115.00	1401
1.50	0.50	1.00	-4304	0.0000000000	-1.0000000000	115.00	1411
1.50	0.50	1.00	-4298	0.0000000000	-0.7222222222	115.00	1421
1.50	0.50	1.00	-4295	0.0000000000	-0.4555555556	115.00	1431
1.50	0.50	1.00	-4302	-0.0111111111	-0.2333333333	115.00	1441
1.50	1.50	0.00	-4310	-0.0222222222	-0.0666666667	157.00	1451
1.50	0.50	1.00	-4324	-0.0111111111	-0.0777777778	115.00	1461
1.50	1.50	0.00	-4341	-0.0222222222	-0.2333333333	157.00	1471
1.50	0.50	1.00	-4362	-0.0111111111	-0.5222222222	115.00	1481
1.50	0.50	1.00	-4385	0.0000000000	-0.8222222222	115.00	1491
