Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
51.0000000000	1.1899999380	404.0000000000	0.0019999999	0.0002000000	0.0000100000	0.00	0
0.16	45.16	-45.00	209	0.0777777778	0.0000000000	255.00	10
-0.38	43.62	-44.00	207	0.0769230769	-0.0109890110	255.00	16
0.44	45.44	-45.00	169	0.0549450549	-0.4285714286	255.00	21
1.86	45.86	-44.00	69	0.0549450549	-1.5164835165	255.00	31
2.39	42.39	-40.00	-45	0.0879120879	-2.7692307692	255.00	41
3.03	40.03	-37.00	-179	0.1208791209	-4.2307692308	255.00	51
3.39	38.39	-35.00	-315	0.1318681319	-5.7362637363	255.00	61
3.81	36.81	-33.00	-460	0.1428571429	-7.3186813187	255.00	71
4.26	34.26	-30.00	-610	0.1758241758	-8.9780219780	255.00	81
4.62	32.62	-28.00	-764	0.1868131868	-10.6703296703	255.00	91
5.04	31.04	-26.00	-924	0.2000000000	-12.5444444444	255.00	101
5.38	29.38	-24.00	-1084	0.2333333333	-13.9000000000	255.00	111
5.81	27.81	-22.00	-1249	0.2444444444	-14.6333333333	255.00	121
6.19	26.19	-20.00	-1416	0.2222222222	-15.2222222222	255.00	131
6.48	25.48	-19.00	-1581	0.2000000000	-15.5777777778	255.00	141
6.74	24.74	-18.00	-1743	0.1888888889	-15.8555555556	255.00	151
7.15	23.15	-16.00	-1909	0.1888888889	-16.1000000000	255.00	161
7.44	22.44	-15.00	-2073	0.1666666667	-16.2444444444	255.00	171
7.79	19.79	-12.00	-2238	0.1777777778	-16.3666666667	255.00	181
8.28	18.28	-10.00	-2410	0.1777777778	-16.5111111111	255.00	191
8.60	16.60	-8.00	-2581	0.1777777778	-16.6333333333	255.00	201
8.83	14.83	-6.00	-2747	0.1777777778	-16.6444444444	255.00	211
9.21	13.21	-4.00	-2915	0.1777777778	-16.6555555556	255.00	221
9.50	11.50	-2.00	-3081	0.1888888889	-16.6666666667	255.00	231
9.83	10.83	-1.00	-3247	0.1888888889	-16.7111111111	255.00	241
10.21	9.21	1.00	-3415	0.1888888889	-16.7333333333	255.00	251
10.57	8.57	2.00	-3584	0.1888888889	-16.7888888889	255.00	261
10.93	7.93	3.00	-3754	0.1666666667	-16.8444444444	255.00	271
