Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
42.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.00	0
0.00	45.00	-45.00	347	0.0777777778	0.0000000000	255.00	10
0.00	45.00	-45.00	344	0.0769230769	-0.0219780220	255.00	15
0.00	45.00	-45.00	314	0.0659340659	-0.3406593407	255.00	21
0.00	43.00	-43.00	212	0.0879120879	-1.4615384615	255.00	31
0.00	40.00	-40.00	94	0.1098901099	-2.7472527473	255.00	41
0.00	38.00	-38.00	-35	0.1208791209	-4.1758241758	255.00	51
0.00	37.00	-37.00	-172	0.1208791209	-5.6813186813	255.00	61
0.00	34.00	-34.00	-323	0.1428571429	-7.3296703297	255.00	71
0.00	32.00	-32.00	-473	0.1538461538	-8.9890109890	255.00	81
0.00	30.00	-30.00	-632	0.1648351648	-10.7252747253	255.00	91
0.00	28.00	-28.00	-790	0.1888888889	-12.5888888889	255.00	101
0.00	25.00	-25.00	-951	0.2222222222	-14.0444444444	255.00	111
0.00	24.00	-24.00	-1111	0.2111111111	-14.6888888889	255.00	121
0.00	21.00	-21.00	-1276	0.2111111111	-15.2222222222	255.00	131
0.00	19.00	-19.00	-1437	0.2111111111	-15.5666666667	255.00	141
0.00	17.00	-17.00	-1601	0.2222222222	-15.8666666667	255.00	151
0.00	16.00	-16.00	-1768	0.2000000000	-16.0555555556	255.00	161
0.00	14.00	-14.00	-1937	0.2000000000	-16.2555555556	255.00	171
0.00	13.00	-13.00	-2097	0.1888888889	-16.2777777778	255.00	181
0.00	11.00	-11.00	-2264	0.1888888889	-16.3777777778	255.00	191
0.00	9.00	-9.00	-2434	0.1777777778	-16.4777777778	255.00	201
0.00	7.00	-7.00	-2596	0.1888888889	-16.5000000000	255.00	211
0.00	6.00	-6.00	-2762	0.1666666667	-16.5111111111	255.00	221
0.00	3.00	-3.00	-2931	0.1777777778	-16.6000000000	209.00	231
0.00	1.00	-1.00	-3098	0.1777777778	-16.6333333333	157.00	241
0.00	0.00	0.00	-3258	0.1777777778	-16.5555555556	130.00	251
0.00	-3.00	3.00	-3417	0.1888888889	-16.4444444444	-138.00	261
0.00	-3.00	3.00	-3563	0.1777777778	-16.3000000000	-138.00	271
0.00	-5.00	5.00	-3678	0.1777777778	-15.7111111111	-191.00	281
0.00	-6.00	6.00	-3749	0.1666666667	-14.6444444444	-217.00	291
0.00	-5.00	5.00	-3753	0.1333333333	-12.8888888889	-191.00	301
0.00	-4.00	4.00	-3711	0.1111111111	-10.5777777778	-164.00	311
0.00	-2.00	2.00	-3654	0.0555555556	-8.0777777778	-111.00	321
0.00	-1.00	1.00	-3612	0.0222222222	-5.7444444444	104.00	331
0.00	-1.00	1.00	-3571	0.0111111111	-3.5222222222	104.00	341
0.00	1.00	-1.00	-3529	-0.0444444444	-1.2888888889	157.00	351
0.00	1.00	-1.00	-3501	-0.0444444444	0.6666666667	157.00	361
0.00	2.00	-2.00	-3484	-0.0777777778	2.1333333333	183.00	371
0.00	2.00	-2.00	-3493	-0.0888888889	2.8444444444	183.00	381
0.00	3.00	-3.00	-3511	-0.0888888889	2.7000000000	209.00	391
0.00	3.00	-3.00	-3550	-0.0777777778	1.8000000000	209.00	401
0.00	2.00	-2.00	-3610	-0.0444444444	0.5111111111	183.00	411
0.00	1.00	-1.00	-3683	-0.0222222222	-0.7666666667	157.00	421
0.00	1.00	-1.00	-3756	-0.0222222222	-2.0333333333	157.00	431
0.00	1.00	-1.00	-3830	0.0000000000	-3.3222222222	157.00	441
0.00	0.00	0.00	-3907	0.0111111111	-4.5000000000	130.00	451
0.00	0.00	0.00	-3984	0.0222222222	-5.5444444444	130.00	461
0.00	0.00	0.00	-4063	0.0222222222	-6.3222222222	130.00	471
0.00	-1.00	1.00	-4141	0.0444444444	-6.9888888889	104.00	481
0.00	-1.00	1.00	-4218	0.0444444444	-7.4222222222	104.00	491
0.00	-2.00	2.00	-4294	0.0444444444	-7.6000000000	-111.00	501
0.00	-3.00	3.00	-4365	0.0444444444	-7.5888888889	-138.00	511
0.00	-3.00	3.00	-4425	0.0444444444	-7.4333333333	-138.00	521
0.00	-3.00	3.00	-4461	0.0444444444	-7.0111111111	-138.00	531
0.00	-3.00	3.00	-4478	0.0333333333	-6.3555555556	-138.00	541
0.00	-2.00	2.00	-4480	0.0222222222	-5.5222222222	-111.00	551
0.00	-2.00	2.00	-4478	0.0222222222	-4.6222222222	-111.00	561
0.00	-1.00	1.00	-4474	0.0000000000	-3.7222222222	104.00	571
0.00	-1.00	1.00	-4470	0.0000000000	-2.8111111111	104.00	581
0.00	0.00	0.00	-4475	-0.0222222222	-2.0222222222	130.00	591
0.00	0.00	0.00	-4485	-0.0333333333	-1.3444444444	130.00	601
0.00	0.00	0.00	-4497	-0.0333333333	-0.8000000000	130.00	611
0.00	1.00	-1.00	-4513	-0.0444444444	-0.5888888889	157.00	621
0.00	1.00	-1.00	-4534	-0.0444444444	-0.6222222222	157.00	631
0.00	1.00	-1.00	-4560	-0.0333333333	-0.8888888889	157.00	641
0.00	1.00	-1.00	-4593	-0.0333333333	-1.2777777778	157.00	651
0.00	1.00	-1.00	-4632	-0.0222222222	-1.7444444444	157.00	661
0.00	1.00	-1.00	-4674	-0.0222222222	-2.2555555556	157.00	671
0.00	0.00	0.00	-4719	0.0000000000	-2.7111111111	130.00	681
