Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
120.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.60	0
-0.48	-47.48	47.00	-164	0.6484848485	0.0050505051	-255.00	118362
-0.48	-42.48	42.00	-160	0.6417759839	0.0070635721	-255.00	118367
-0.48	-39.48	39.00	-123	0.6387487386	0.0454086781	-255.00	118373
-0.48	-34.48	34.00	-17	0.6337033300	0.1503531786	-255.00	118382
-0.48	-27.48	27.00	111	0.6256306761	0.2795156408	-255.00	118392
-0.48	-24.48	24.00	243	0.6226034309	0.4127144299	-255.00	118402
-0.48	-18.48	18.00	387	0.6165489405	0.5580221998	-255.00	118412
-0.48	-13.48	13.00	543	0.6125126135	0.7154389506	-255.00	118422
-0.48	-8.48	8.00	703	0.6074672048	0.8768920283	-255.00	118432
-0.48	-3.48	3.00	865	0.6034308779	1.0403632694	-255.00	118442
-0.48	2.52	-3.00	1028	0.5983854692	1.2048435923	255.00	118452
-0.48	6.52	-7.00	1181	0.5943491423	1.3592330979	255.00	118462
-0.48	11.52	-12.00	1272	0.5913218971	1.4540867810	255.00	118472
-0.48	14.52	-15.00	1258	0.5893037336	1.4409687185	255.00	118482
-0.48	11.52	-12.00	1206	0.5933400605	1.3884964682	255.00	118492
-0.48	11.52	-12.00	1116	-0.6155398587	1.2986881937	255.00	118502
-0.48	11.52	-12.00	1008	-0.6145307770	1.1897073663	255.00	118512
-0.48	9.52	-10.00	878	-0.6104944501	1.0595358224	255.00	118522
-0.48	7.52	-8.00	739	-0.6054490414	0.9182643794	255.00	118532
-0.48	5.52	-6.00	592	-0.6014127144	0.7709384460	255.00	118542
-0.48	2.52	-3.00	437	-0.5953582240	0.6145307770	255.00	118552
-0.48	0.52	-1.00	279	-0.5913218971	0.4540867810	114.00	118562
-0.48	-3.48	3.00	124	-0.5842583249	0.2976791120	-255.00	118572
-0.48	-6.48	6.00	-12	-0.5771947528	0.1604439960	-255.00	118582
-0.48	-9.48	9.00	-100	-0.5711402624	0.0696266398	-255.00	118592
-0.48	-11.48	11.00	-75	-0.5650857719	0.0938446014	-255.00	118602
-0.48	-10.48	10.00	7	-0.5620585267	0.1755802220	-255.00	118612
-0.48	-10.48	10.00	114	-0.5570131181	0.2835519677	-255.00	118622
-0.48	-10.48	10.00	231	-0.5529767911	0.3995963673	-255.00	118632
-0.48	-10.48	10.00	370	-0.5479313824	0.5398587286	-255.00	118642
-0.48	-9.48	9.00	523	-0.5428859738	0.6952573158	-255.00	118652
-0.48	-8.48	8.00	672	-0.5388496468	0.8446014127	-255.00	118662
-0.48	-6.48	6.00	827	-0.5348133199	1.0010090817	-255.00	118672
-0.48	-4.48	4.00	991	-0.5317860747	1.1664984864	-255.00	118682
-0.48	-2.48	2.00	1157	-0.5277497477	1.3329969728	-255.00	118692
-0.48	0.52	-1.00	1318	-0.5237134208	1.4944500505	114.00	118702
-0.48	3.52	-4.00	1471	-0.5206861756	1.6488395560	255.00	118712
-0.48	6.52	-7.00	1600	-0.5176589304	1.7780020182	255.00	118722
-0.48	9.52	-10.00	1641	-0.5136226034	1.8213925328	255.00	118732
-0.48	8.52	-9.00	1603	-0.5065590313	1.7840565086	255.00	118742
