Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
67.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.50	0
1.50	46.50	-45.00	562	0.0333333333	0.0000000000	2063.00	10
1.50	46.50	-45.00	559	0.0329670330	-0.0329670330	2063.00	16
1.50	46.50	-45.00	521	0.0329670330	-0.4505494505	2063.00	21
1.50	44.50	-43.00	419	0.0549450549	-1.5714285714	1979.00	31
1.50	41.50	-40.00	306	0.0769230769	-2.8021978022	1852.00	41
1.50	38.50	-37.00	173	0.1098901099	-4.2637362637	1725.00	51
1.50	38.50	-37.00	32	0.1098901099	-5.8021978022	1725.00	61
1.50	34.50	-33.00	-117	0.1428571429	-7.4395604396	1555.00	71
1.50	31.50	-30.00	-272	0.1758241758	-9.1538461538	1428.00	81
1.50	29.50	-28.00	-434	0.1868131868	-10.9230769231	1344.00	91
1.50	26.50	-25.00	-591	0.2222222222	-12.7555555556	1216.00	101
1.50	23.50	-22.00	-753	0.2555555556	-14.1333333333	1090.00	111
1.50	21.50	-20.00	-914	0.2555555556	-14.8000000000	1005.00	121
1.50	19.50	-18.00	-1080	0.2444444444	-15.3888888889	920.00	131
1.50	18.50	-17.00	-1245	0.2222222222	-15.7444444444	878.00	141
1.50	16.50	-15.00	-1414	0.2444444444	-16.0666666667	793.00	151
1.50	14.50	-13.00	-1584	0.2222222222	-16.3111111111	708.00	161
1.50	12.50	-11.00	-1753	0.2111111111	-16.4444444444	623.00	171
1.50	10.50	-9.00	-1916	0.2111111111	-16.4666666667	539.00	181
1.50	7.50	-6.00	-2083	0.2111111111	-16.5777777778	412.00	191
1.50	6.50	-5.00	-2248	0.1888888889	-16.6222222222	369.00	201
1.50	3.50	-2.00	-2409	0.2000000000	-16.6000000000	243.00	211
1.50	1.50	0.00	-2570	0.2000000000	-16.5666666667	158.00	221
1.50	-0.50	2.00	-2730	0.2111111111	-16.5111111111	-115.00	231
1.50	-2.50	4.00	-2876	0.2111111111	-16.2555555556	-200.00	241
1.50	-3.50	5.00	-3000	0.2000000000	-15.7444444444	-243.00	251
1.50	-5.50	7.00	-3052	0.2000000000	-14.4666666667	-327.00	261
1.50	-5.50	7.00	-3026	0.1777777778	-12.3666666667	-327.00	271
1.50	-1.50	3.00	-2999	0.1000000000	-10.2222222222	-158.00	281
1.50	-1.50	3.00	-2961	0.0888888889	-7.9444444444	-158.00	291
1.50	-2.50	4.00	-2953	0.0666666667	-6.0777777778	-200.00	301
1.50	-1.50	3.00	-2945	0.0333333333	-4.2000000000	-158.00	311
1.50	-2.50	4.00	-2903	0.0222222222	-1.9444444444	-200.00	321
1.50	-0.50	2.00	-2850	-0.0222222222	0.2555555556	-115.00	331
1.50	1.50	0.00	-2782	-0.0555555556	2.4111111111	158.00	341
1.50	2.50	-1.00	-2723	-0.0888888889	3.6444444444	200.00	351
1.50	3.50	-2.00	-2692	-0.1000000000	3.7111111111	243.00	361
1.50	4.50	-3.00	-2709	-0.0666666667	3.2444444444	285.00	371
1.50	2.50	-1.00	-2760	-0.0444444444	2.2444444444	200.00	381
1.50	0.50	1.00	-2813	-0.0333333333	1.5666666667	115.00	391
1.50	0.50	1.00	-2874	-0.0222222222	0.8111111111	115.00	401
1.50	0.50	1.00	-2936	-0.0333333333	-0.3555555556	115.00	411
1.50	-0.50	2.00	-2994	0.0000000000	-1.5777777778	-115.00	421
1.50	-0.50	2.00	-3056	0.0222222222	-3.0333333333	-115.00	431
1.50	-0.50	2.00	-3102	0.0333333333	-4.1888888889	-115.00	441
1.50	-1.50	3.00	-3133	0.0555555556	-4.8888888889	-158.00	451
1.50	-1.50	3.00	-3150	0.0666666667	-4.9111111111	-158.00	461
1.50	-0.50	2.00	-3153	0.0333333333	-4.3777777778	-115.00	471
1.50	-0.50	2.00	-3143	0.0111111111	-3.6777777778	-115.00	481
1.50	-0.50	2.00	-3125	0.0111111111	-2.8000000000	-115.00	491
1.50	0.50	1.00	-3105	0.0000000000	-1.8888888889	115.00	501
1.50	0.50	1.00	-3085	-0.0111111111	-1.0222222222	115.00	511
1.50	0.50	1.00	-3074	-0.0111111111	-0.2111111111	115.00	521
1.50	1.50	0.00	-3070	-0.0222222222	0.3444444444	158.00	531
1.50	1.50	0.00	-3079	-0.0333333333	0.5888888889	158.00	541
1.50	1.50	0.00	-3098	-0.0333333333	0.5888888889	158.00	551
1.50	1.50	0.00	-3122	-0.0222222222	0.3444444444	158.00	561
1.50	1.50	0.00	-3152	-0.0222222222	-0.1000000000	158.00	571
1.50	1.50	0.00	-3186	-0.0222222222	-0.6666666667	158.00	581
1.50	0.50	1.00	-3224	0.0000000000	-1.3111111111	115.00	591
1.50	0.50	1.00	-3267	0.0000000000	-2.0111111111	115.00	601
1.50	0.50	1.00	-3312	0.0000000000	-2.6333333333	115.00	611
1.50	0.50	1.00	-3355	0.0111111111	-3.1666666667	115.00	621
1.50	-0.50	2.00	-3402	0.0222222222	-3.5888888889	-115.00	631
1.50	-0.50	2.00	-3449	0.0222222222	-3.9111111111	-115.00	641
1.50	-0.50	2.00	-3488	0.0222222222	-4.0555555556	-115.00	651
1.50	-0.50	2.00	-3509	0.0222222222	-3.9666666667	-115.00	661
1.50	-0.50	2.00	-3521	0.0222222222	-3.7222222222	-115.00	671
1.50	-0.50	2.00	-3523	0.0111111111	-3.3333333333	-115.00	681
1.50	0.50	1.00	-3519	0.0000000000	-2.8111111111	115.00	691
1.50	0.50	1.00	-3513	0.0000000000	-2.2444444444	115.00	701
1.50	0.50	1.00	-3507	0.0000000000	-1.6888888889	115.00	711
1.50	1.50	0.00	-3510	-0.0222222222	-1.2000000000	158.00	721
1.50	0.50	1.00	-3520	-0.0111111111	-0.7888888889	115.00	731
1.50	0.50	1.00	-3537	-0.0111111111	-0.5555555556	115.00	741
1.50	0.50	1.00	-3557	-0.0111111111	-0.5333333333	115.00	751
1.50	0.50	1.00	-3579	-0.0111111111	-0.6444444444	115.00	761
1.50	0.50	1.00	-3603	-0.0111111111	-0.8777777778	115.00	771
1.50	0.50	1.00	-3631	0.0000000000	-1.2333333333	115.00	781
1.50	0.50	1.00	-3661	0.0000000000	-1.6444444444	115.00	791
1.50	0.50	1.00	-3692	0.0000000000	-2.0555555556	115.00	801
1.50	0.50	1.00	-3724	0.0111111111	-2.3777777778	115.00	811
1.50	-0.50	2.00	-3760	0.0111111111	-2.6555555556	-115.00	821
1.50	-0.50	2.00	-3792	0.0111111111	-2.8333333333	-115.00	831
1.50	-0.50	2.00	-3816	0.0111111111	-2.8666666667	-115.00	841
1.50	-0.50	2.00	-3828	0.0111111111	-2.7777777778	-115.00	851
1.50	-0.50	2.00	-3830	0.0111111111	-2.5333333333	-115.00	861
