Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
60.0000000000	0.0000000000	0.0000000000	0.0014999999	0.0000173400	0.0000075551	-0.80	200
-62.46	-110.46	48.00	579	0.6353535354	0.0434343434	-255.00	156795
-1.68	-42.68	41.00	585	0.6310483871	0.0453629032	-255.00	156801
-2.05	-37.05	35.00	637	0.6280241935	0.0997983871	-255.00	156806
-2.56	-29.56	27.00	750	0.6239919355	0.2127016129	-255.00	156816
-2.83	-23.83	21.00	878	0.6209677419	0.3407258065	-255.00	156826
-3.06	-19.06	16.00	1010	0.6189516129	0.4737903226	-255.00	156836
-3.39	-12.39	9.00	1159	-0.5937500000	0.6250000000	-255.00	156846
-3.70	-6.70	3.00	1322	-0.5967741935	0.7883064516	-255.00	156856
-3.93	-0.93	-3.00	1482	-0.5987903226	0.9495967742	-129.00	156866
-4.06	3.94	-8.00	1627	-0.6014127144	1.0968718466	243.00	156875
-4.33	8.67	-13.00	1778	-0.6034308779	1.2502522704	255.00	156885
-4.13	14.87	-19.00	1869	-0.6054490414	1.3440968718	255.00	156895
-3.46	18.54	-22.00	1850	-0.6054490414	1.3259334006	255.00	156905
-3.16	17.84	-21.00	1794	-0.6014127144	1.2694248234	255.00	156915
-2.80	16.20	-19.00	1700	-0.5973763875	1.1755802220	255.00	156925
-2.52	16.48	-19.00	1587	-0.5943491423	1.0615539859	255.00	156935
-2.27	14.73	-17.00	1463	-0.5893037336	0.9364278507	255.00	156945
-1.95	13.05	-15.00	1321	-0.5852674067	0.7931382442	255.00	156955
-1.67	9.33	-11.00	1169	-0.5792129162	0.6407669021	255.00	156965
-1.42	6.58	-8.00	1014	-0.5741675076	0.4843592331	255.00	156975
-1.18	3.82	-5.00	858	-0.5691220989	0.3269424823	238.00	156985
-0.94	0.06	-1.00	702	-0.5630676085	0.1695257316	96.00	156995
-0.72	-2.72	2.00	547	-0.5580221998	0.0131180626	-197.00	157005
-0.58	-5.58	5.00	406	-0.5529767911	-0.1301715439	-255.00	157015
-0.69	-9.69	9.00	309	-0.5479313824	-0.2290615540	-255.00	157025
-1.28	-14.28	13.00	314	-0.5418768920	-0.2260343088	-255.00	157035
-1.74	-13.74	12.00	382	-0.5408678103	-0.1644803229	-255.00	157045
-2.09	-12.09	10.00	483	-0.5408678103	-0.0706357215	-255.00	157055
-2.35	-14.35	12.00	599	-0.5368314834	0.0403632694	-255.00	157065
-2.68	-15.68	13.00	735	-0.5338042381	0.1765893037	-255.00	157075
-2.97	-13.97	11.00	885	-0.5338042381	0.3269424823	-255.00	157085
-3.17	-14.17	11.00	1030	-0.5317860747	0.4732593340	-255.00	157095
-3.48	-13.48	10.00	1189	-0.5307769929	0.6326942482	-255.00	157105
-3.64	-12.64	9.00	1335	-0.5292929293	0.7828282828	-255.00	157114
-3.84	-10.84	7.00	1479	-0.5288169869	0.9292214358	-255.00	157123
-4.06	-9.06	5.00	1625	-0.5283400810	1.0779352227	-255.00	157132
-4.44	-6.44	2.00	1793	-0.5283400810	1.2469635628	-255.00	157142
-4.57	-3.57	-1.00	1943	-0.5288753799	1.4002026342	-228.00	157151
-4.77	-1.77	-3.00	2090	-0.5273833671	1.5507099391	-161.00	157160
-4.97	1.03	-6.00	2234	-0.5279187817	1.6994923858	133.00	157169
-5.26	3.74	-9.00	2387	-0.5269035533	1.8558375635	235.00	157179
-5.29	5.71	-11.00	2513	-0.5248730964	1.9847715736	255.00	157189
-4.74	7.26	-12.00	2536	-0.5218274112	2.0101522843	255.00	157199
-4.34	7.66	-12.00	2501	-0.5167512690	1.9746192893	255.00	157209
-4.00	8.00	-12.00	2427	-0.5116751269	1.8994923858	255.00	157219
-3.72	9.28	-13.00	2330	-0.5076142132	1.8010152284	255.00	157229
-3.35	8.65	-12.00	2200	-0.5015228426	1.6710659898	255.00	157239
-3.10	8.90	-12.00	2065	-0.4964467005	1.5329949239	255.00	157249
-2.91	8.09	-11.00	1930	-0.4893401015	1.3969543147	255.00	157259
-2.58	5.42	-8.00	1779	-0.4802030457	1.2426395939	255.00	157269
-2.35	3.65	-6.00	1626	-0.4730964467	1.0883248731	231.00	157279
-2.11	0.89	-3.00	1472	-0.4639593909	0.9319796954	128.00	157289
-1.89	-0.89	-1.00	1319	-0.4558375635	0.7766497462	-128.00	157299
-1.80	-3.80	2.00	1187	-0.4461382114	0.6422764228	-238.00	157308
-1.71	-5.71	4.00	1068	-0.4369918699	0.5213414634	-255.00	157318
-2.12	-8.12	6.00	1032	-0.4278455285	0.4827235772	-255.00	157328
-2.74	-5.74	3.00	1089	-0.4237804878	0.5386178862	-255.00	157338
-3.11	-6.11	3.00	1184	-0.4166666667	0.6351626016	-255.00	157348
-3.38	-5.38	2.00	1296	-0.4105691057	0.7489837398	-255.00	157358
-3.63	-5.63	2.00	1420	-0.4024390244	0.8739837398	-255.00	157368
-4.02	-2.02	-2.00	1572	-0.3993902439	1.0284552846	-170.00	157378
-4.12	-1.12	-3.00	1705	-0.3926754832	1.1658189217	-137.00	157387
-4.28	-0.28	-4.00	1834	-0.3859470468	1.2983706721	-105.00	157396
-4.46	1.54	-6.00	1961	-0.3802242610	1.4291539246	152.00	157405
-4.65	3.35	-8.00	2087	-0.3741080530	1.5575942915	221.00	157415
-4.68	5.32	-10.00	2192	-0.3679918451	1.6646279307	255.00	157425
-4.18	8.82	-13.00	2203	-0.3618756371	1.6788990826	255.00	157435
-3.76	7.24	-11.00	2157	-0.3506625892	1.6320081549	255.00	157445
-3.43	2.57	-6.00	2074	-0.3374108053	1.5474006116	191.00	157455
-3.16	0.84	-4.00	1972	-0.3261977574	1.4444444444	126.00	157465
-3.03	-1.03	-2.00	1873	-0.3149847095	1.3435270133	-133.00	157475
-2.90	-1.90	-1.00	1777	-0.3047910296	1.2456676860	-166.00	157485
-2.93	-3.93	1.00	1705	-0.2935779817	1.1712538226	-242.00	157495
-3.07	-6.07	3.00	1668	-0.2823649337	1.1325178389	-255.00	157505
-3.60	-8.60	5.00	1712	-0.2711518858	1.1763506626	-255.00	157515
-3.98	-5.98	2.00	1798	-0.2650356779	1.2629969419	-255.00	157525
-4.32	-1.32	-3.00	1913	-0.2599388379	1.3792048930	-143.00	157535
-4.56	-0.56	-4.00	2037	-0.2507645260	1.5056065240	-115.00	157545
-4.68	0.32	-5.00	2152	-0.2426095821	1.6228338430	106.00	157555
-4.84	1.16	-6.00	2266	-0.2334352701	1.7390417941	138.00	157565
-4.92	2.08	-7.00	2367	-0.2252803262	1.8399592253	172.00	157575
-4.91	3.09	-8.00	2445	-0.2161060143	1.9174311927	211.00	157585
-4.58	3.42	-8.00	2461	-0.2059123344	1.9296636086	223.00	157595
-4.24	2.76	-7.00	2427	-0.1957186544	1.8929663609	198.00	157605
-3.95	2.05	-6.00	2361	-0.1845056065	1.8226299694	171.00	157615
-3.88	1.12	-5.00	2299	-0.1732925586	1.7563710499	137.00	157625
-3.75	1.25	-5.00	2232	-0.1641182467	1.6870540265	141.00	157635
-3.61	-0.61	-3.00	2159	-0.1518858308	1.6116207951	-117.00	157645
-3.56	-1.56	-2.00	2094	-0.1416921509	1.5453618756	-153.00	157655
-3.51	-2.51	-1.00	2036	-0.1314984709	1.4862385321	-189.00	157665
-3.61	-2.61	-1.00	2005	-0.1223241590	1.4536187564	-192.00	157675
-3.83	-3.83	0.00	2010	-0.1121304791	1.4576962283	-238.00	157685
-4.17	-2.17	-2.00	2060	-0.1049949032	1.5086646279	-176.00	157695
-4.39	-1.39	-3.00	2131	-0.0978593272	1.5800203874	-147.00	157705
-4.50	-1.50	-3.00	2202	-0.0897043833	1.6523955148	-151.00	157715
-4.62	-0.62	-4.00	2274	-0.0825688073	1.7278287462	-118.00	157725
-4.76	0.24	-5.00	2351	-0.0754332314	1.8063200815	103.00	157735
-4.83	1.17	-6.00	2423	-0.0693170234	1.8786952090	138.00	157745
-4.83	1.17	-6.00	2478	-0.0621814475	1.9357798165	138.00	157755
-4.81	2.19	-7.00	2519	-0.0560652396	1.9775739042	177.00	157765
-4.70	2.30	-7.00	2537	-0.0490296221	1.9969356486	180.00	157775
-4.57	2.43	-7.00	2532	-0.0429009193	1.9376915220	185.00	157785
-4.42	2.58	-7.00	2510	-0.0347293156	1.7997957099	191.00	157795
-4.30	2.70	-7.00	2475	-0.0286006129	1.6343207354	196.00	157805
-4.18	1.82	-6.00	2431	-0.0224719101	1.4545454545	162.00	157815
-4.04	1.96	-6.00	2375	-0.0153217569	1.2451481103	168.00	157825
-3.88	1.12	-5.00	2310	-0.0081716037	1.0132788560	137.00	157835
-3.77	1.23	-5.00	2243	-0.0020429009	0.7814096016	140.00	157845
-3.67	0.33	-4.00	2176	0.0040816327	0.5642857143	106.00	157855
-3.57	-0.57	-3.00	2109	0.0102040816	0.3408163265	-116.00	157865
-3.49	-1.49	-2.00	2045	0.0173469388	0.1806122449	-150.00	157875
-3.47	-1.47	-2.00	1991	0.0204081633	0.1438775510	-150.00	157885
-3.55	-2.55	-1.00	1961	0.0204081633	0.1693877551	-191.00	157895
-3.66	-2.66	-1.00	1951	0.0183673469	0.2540816327	-194.00	157905
-3.86	-2.86	-1.00	1970	0.0183673469	0.3887755102	-202.00	157915
-4.08	-1.08	-3.00	2017	0.0142857143	0.5622448980	-135.00	157925
-4.25	-0.25	-4.00	2076	0.0112244898	0.7673469388	-103.00	157935
-4.31	0.69	-5.00	2132	0.0061224490	0.9785714286	120.00	157945
-4.36	1.64	-6.00	2183	0.0020408163	1.1887755102	156.00	157955
-4.37	1.63	-6.00	2225	-0.0010204082	1.3908163265	155.00	157965
-4.33	2.67	-7.00	2252	-0.0061224490	1.5785714286	195.00	157975
-4.19	2.81	-7.00	2255	-0.0091836735	1.7397959184	200.00	157985
-4.02	2.98	-7.00	2233	-0.0122448980	1.8632653061	206.00	157995
-3.77	3.23	-7.00	2182	-0.0163265306	1.9112244898	216.00	158005
-3.59	2.41	-6.00	2116	-0.0193877551	1.8397959184	185.00	158015
-3.41	1.59	-5.00	2040	-0.0173469388	1.6948979592	154.00	158025
-3.31	1.69	-5.00	1965	-0.0153061224	1.5163265306	158.00	158035
-3.15	0.85	-4.00	1883	-0.0163265306	1.3153061224	126.00	158045
-3.04	-0.04	-3.00	1803	-0.0163265306	1.0938775510	-96.00	158055
-2.95	-0.95	-2.00	1729	-0.0132653061	0.8653061224	-130.00	158065
-2.94	-1.94	-1.00	1667	-0.0122448980	0.6540816327	-167.00	158075
-2.96	-1.96	-1.00	1621	-0.0112244898	0.4459183673	-168.00	158085
-3.01	-2.01	-1.00	1593	-0.0101936799	0.2650356779	-170.00	158095
-3.16	-2.16	-1.00	1590	-0.0081466395	0.1150712831	-175.00	158105
-3.32	-1.32	-2.00	1611	-0.0071210580	-0.0122075280	-144.00	158115
-3.45	-0.45	-3.00	1644	-0.0050864700	-0.1495422177	-111.00	158125
-3.50	0.50	-4.00	1677	-0.0030487805	-0.2672764228	113.00	158135
-3.55	1.45	-5.00	1710	-0.0020304569	-0.3827411168	149.00	158145
-3.55	1.45	-5.00	1737	0.0010141988	-0.5010141988	148.00	158155
-3.49	2.51	-6.00	1750	0.0030425963	-0.6440162272	189.00	158165
-3.38	2.62	-6.00	1745	0.0050709939	-0.7778904665	193.00	158175
-3.29	3.71	-7.00	1727	0.0050709939	-0.8204868154	234.00	158185
-2.99	4.01	-7.00	1673	0.0050709939	-0.8397565923	245.00	158195
-2.71	3.29	-6.00	1591	0.0060851927	-0.8478701826	218.00	158205
-2.46	1.54	-4.00	1492	0.0091277890	-0.8498985801	152.00	158215
-2.31	0.69	-3.00	1392	0.0091277890	-0.8204868154	120.00	158225
-2.15	-0.15	-2.00	1291	0.0101419878	-0.7849898580	-100.00	158235
-2.03	-1.03	-1.00	1195	0.0101419878	-0.7474645030	-133.00	158245
-2.00	-1.00	-1.00	1115	0.0070993915	-0.6744421907	-132.00	158255
-2.02	-1.02	-1.00	1053	0.0050709939	-0.5831643002	-132.00	158265
-2.09	-1.09	-1.00	1015	0.0020283976	-0.4665314402	-135.00	158275
-2.16	-1.16	-1.00	994	0.0000000000	-0.3326572008	-138.00	158285
-2.24	-0.24	-2.00	988	-0.0040526849	-0.2036474164	-103.00	158295
-2.27	-0.27	-2.00	987	-0.0060790274	-0.0840932118	-105.00	158305
-2.30	0.70	-3.00	990	-0.0091185410	-0.0425531915	121.00	158315
-2.29	0.71	-3.00	991	-0.0060790274	-0.0972644377	121.00	158325
-2.27	1.73	-4.00	989	-0.0070921986	-0.1955420466	160.00	158335
-2.22	2.78	-5.00	980	-0.0070921986	-0.3171225937	199.00	158345
-2.13	2.87	-5.00	962	-0.0070921986	-0.4609929078	202.00	158355
-1.97	4.03	-6.00	925	-0.0040526849	-0.6524822695	246.00	158365
-1.72	4.28	-6.00	861	-0.0030364372	-0.8512145749	255.00	158375
-1.42	3.58	-5.00	768	-0.0010111223	-1.0738119312	229.00	158385
-1.13	2.87	-4.00	656	0.0020202020	-1.3141414141	202.00	158395
-0.96	3.04	-4.00	543	0.0040404040	-1.5555555556	209.00	158405
-0.78	2.22	-3.00	429	0.0070707071	-1.7767676768	178.00	158415
-0.60	2.40	-3.00	313	0.0101010101	-1.9080808081	185.00	158425
-0.40	1.60	-2.00	194	0.0090909091	-1.9818181818	155.00	158435
-0.25	1.75	-2.00	79	0.0040404040	-2.0151515152	160.00	158445
-0.07	0.93	-1.00	-37	0.0030303030	-2.0292929293	129.00	158455
0.10	0.10	0.00	-151	0.0020202020	-2.0454545455	98.00	158465
0.26	-1.74	2.00	-266	0.0030303030	-2.0636363636	-160.00	158475
0.35	-2.65	3.00	-367	0.0020202020	-2.0929292929	-194.00	158485
0.32	-2.68	3.00	-444	0.0000000000	-2.1323232323	-196.00	158495
-0.06	-4.06	4.00	-452	-0.0010101010	-2.1848484848	-247.00	158505
-0.41	-2.41	2.00	-411	0.0000000000	-2.2313131313	-185.00	158515
-0.71	0.29	-1.00	-338	0.0020202020	-2.2727272727	105.00	158525
-0.80	2.20	-3.00	-267	0.0010101010	-2.3262626263	177.00	158535
-0.73	3.27	-4.00	-221	0.0010101010	-2.3959595960	217.00	158545
-0.64	4.36	-5.00	-196	0.0010101010	-2.4858585859	255.00	158555
-0.21	5.79	-6.00	-237	0.0010101010	-2.6272727273	255.00	158565
0.12	5.12	-5.00	-315	0.0030303030	-2.7848484848	255.00	158575
0.47	4.47	-4.00	-423	0.0040404040	-2.9121212121	255.00	158585
0.70	3.70	-3.00	-542	0.0040404040	-2.9979797980	233.00	158595
0.99	2.99	-2.00	-676	0.0040404040	-3.0666666667	207.00	158605
1.20	2.20	-1.00	-812	0.0040404040	-3.1404040404	177.00	158615
1.37	1.37	0.00	-941	0.0050505051	-3.2040404040	145.00	158625
1.54	0.54	1.00	-1069	0.0040404040	-3.2585858586	115.00	158635
1.76	0.76	1.00	-1199	0.0030303030	-3.3252525253	123.00	158645
1.94	-0.06	2.00	-1328	0.0030303030	-3.3969696970	-96.00	158655
2.07	-0.93	3.00	-1448	0.0040404040	-3.4858585859	-129.00	158665
2.12	-0.88	3.00	-1550	0.0030303030	-3.5929292929	-127.00	158675
