Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
55.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.00	0
0.33	45.33	-45.00	328	0.0666666667	0.0000000000	255.00	10
0.33	44.33	-44.00	327	0.0769230769	-0.0109890110	255.00	15
0.33	45.33	-45.00	289	0.0659340659	-0.4175824176	255.00	21
0.33	42.33	-42.00	188	0.0879120879	-1.5274725275	255.00	31
0.33	38.33	-38.00	71	0.1318681319	-2.8021978022	255.00	41
0.33	37.33	-37.00	-60	0.1318681319	-4.2307692308	255.00	51
0.33	36.33	-36.00	-195	0.1428571429	-5.7142857143	255.00	61
0.33	32.33	-32.00	-346	0.1648351648	-7.3736263736	255.00	71
0.33	31.33	-31.00	-496	0.1648351648	-9.0219780220	255.00	81
0.33	28.33	-28.00	-648	0.1868131868	-10.6923076923	255.00	91
0.33	26.33	-26.00	-806	0.2000000000	-12.5555555556	255.00	101
0.33	23.33	-23.00	-969	0.2444444444	-13.9666666667	255.00	111
0.33	21.33	-21.00	-1130	0.2333333333	-14.6222222222	255.00	121
0.33	18.33	-18.00	-1291	0.2222222222	-15.1222222222	255.00	131
0.33	16.33	-16.00	-1457	0.2333333333	-15.5222222222	255.00	141
0.33	14.33	-14.00	-1623	0.2444444444	-15.8666666667	255.00	151
0.33	12.33	-12.00	-1784	0.2222222222	-15.9777777778	255.00	161
0.33	9.33	-9.00	-1949	0.2444444444	-16.1444444444	255.00	171
0.33	8.33	-8.00	-2117	0.2222222222	-16.3222222222	255.00	181
0.33	6.33	-6.00	-2283	0.2222222222	-16.4111111111	216.00	191
0.33	4.33	-4.00	-2447	0.2111111111	-16.4222222222	147.00	201
0.33	2.33	-2.00	-2611	0.2111111111	-16.4555555556	-111.00	211
0.33	0.33	0.00	-2756	0.2000000000	-16.2888888889	-180.00	221
0.33	-1.67	2.00	-2878	0.2000000000	-15.8111111111	-249.00	231
0.33	-2.67	3.00	-2951	0.1888888889	-14.7777777778	-221.00	241
0.33	-3.67	4.00	-2935	0.1777777778	-12.8333333333	-255.00	251
0.33	-0.67	1.00	-2872	0.1111111111	-10.3000000000	255.00	261
0.33	0.33	0.00	-2785	0.0888888889	-7.4666666667	197.00	271
0.33	2.33	-2.00	-2777	0.0444444444	-5.5222222222	255.00	281
0.33	0.33	0.00	-2819	0.0444444444	-4.1444444444	-180.00	291
0.33	-0.67	1.00	-2882	0.0333333333	-3.0222222222	-152.00	301
0.33	-1.67	2.00	-2932	0.0222222222	-1.9777777778	-186.00	311
0.33	-1.67	2.00	-2922	0.0000000000	-0.5111111111	-123.00	321
0.33	-0.67	1.00	-2895	-0.0222222222	0.6111111111	162.00	331
0.33	0.33	0.00	-2850	-0.0444444444	0.9555555556	197.00	341
0.33	0.33	0.00	-2839	-0.0111111111	0.3777777778	134.00	351
0.33	0.33	0.00	-2862	0.0000000000	-0.8444444444	134.00	361
0.33	-0.67	1.00	-2895	0.0333333333	-1.3111111111	-152.00	371
0.33	-0.67	1.00	-2931	0.0111111111	-1.2555555556	100.00	381
0.33	-0.67	1.00	-2940	0.0000000000	-0.6666666667	100.00	391
0.33	-0.67	1.00	-2949	-0.0111111111	-0.1888888889	100.00	401
0.33	-0.67	1.00	-2957	-0.0111111111	-0.3777777778	100.00	411
0.33	-1.67	2.00	-2980	0.0111111111	-0.9333333333	-186.00	421
0.33	-1.67	2.00	-2996	0.0222222222	-1.6222222222	-123.00	431
0.33	-0.67	1.00	-2993	0.0111111111	-1.7111111111	162.00	441
0.33	-0.67	1.00	-2982	0.0111111111	-1.3333333333	100.00	451
0.33	-0.67	1.00	-2971	0.0000000000	-0.8444444444	100.00	461
0.33	-0.67	1.00	-2974	0.0000000000	-0.4777777778	100.00	471
0.33	-0.67	1.00	-2975	0.0000000000	-0.3888888889	100.00	481
0.33	-0.67	1.00	-2981	0.0000000000	-0.3555555556	100.00	491
0.33	-0.67	1.00	-2991	0.0000000000	-0.3777777778	100.00	501
0.33	-0.67	1.00	-3003	-0.0111111111	-0.2666666667	100.00	511
0.33	-0.67	1.00	-3015	-0.0111111111	-0.2000000000	100.00	521
0.33	-0.67	1.00	-3029	0.0000000000	-0.3888888889	100.00	531
0.33	-0.67	1.00	-3045	0.0000000000	-0.7000000000	100.00	541
0.33	-1.67	2.00	-3061	0.0111111111	-1.0000000000	-186.00	551
0.33	-1.67	2.00	-3072	0.0111111111	-1.0888888889	-123.00	561
0.33	-1.67	2.00	-3070	0.0111111111	-1.0555555556	-123.00	571
0.33	-1.67	2.00	-3056	0.0111111111	-0.8333333333	-123.00	581
0.33	-0.67	1.00	-3031	0.0000000000	-0.4444444444	162.00	591
0.33	-0.67	1.00	-3009	0.0000000000	-0.0666666667	100.00	601
0.33	0.33	0.00	-2998	-0.0111111111	0.1666666667	197.00	611
0.33	-0.67	1.00	-3005	0.0000000000	0.2666666667	-152.00	621
0.33	-0.67	1.00	-3020	0.0000000000	0.2777777778	100.00	631
0.33	-0.67	1.00	-3031	-0.0111111111	0.3333333333	100.00	641
0.33	-0.67	1.00	-3035	-0.0111111111	0.4111111111	100.00	651
0.33	-0.67	1.00	-3039	-0.0111111111	0.3444444444	100.00	661
0.33	-0.67	1.00	-3052	-0.0111111111	0.0444444444	100.00	671
0.33	-0.67	1.00	-3068	0.0000000000	-0.4000000000	100.00	681
0.33	-0.67	1.00	-3083	0.0000000000	-0.8222222222	100.00	691
0.33	-1.67	2.00	-3099	0.0222222222	-1.1111111111	-186.00	701
0.33	-1.67	2.00	-3109	0.0111111111	-1.1666666667	-123.00	711
0.33	-1.67	2.00	-3106	0.0111111111	-0.9555555556	-123.00	721
0.33	-1.67	2.00	-3089	0.0111111111	-0.6555555556	-123.00	731
0.33	-0.67	1.00	-3066	0.0000000000	-0.3555555556	162.00	741
0.33	-0.67	1.00	-3045	0.0000000000	-0.0777777778	100.00	751
0.33	-0.67	1.00	-3035	0.0000000000	0.1888888889	100.00	761
0.33	-0.67	1.00	-3041	0.0000000000	0.2888888889	100.00	771
