Desired angle	Error angle	Angle	Position	Average angle velocity	Average rail velocity	Motor output	Time
51.0000000000	1.1899999380	404.0000000000	0.0000000000	0.0000000000	0.0000000000	0.00	0
0.23	45.23	-45.00	-443	0.0777777778	0.0000000000	255.00	11
0.23	45.23	-45.00	-458	0.0769230769	-0.0989010989	255.00	16
0.23	43.23	-43.00	-517	0.0989010989	-0.8131868132	255.00	21
0.23	40.23	-40.00	-610	0.1208791209	-1.8351648352	255.00	31
0.23	37.23	-37.00	-725	0.1538461538	-3.0879120879	255.00	41
0.23	36.23	-36.00	-854	0.1538461538	-4.5054945055	255.00	51
0.23	32.23	-32.00	-998	0.1868131868	-6.0769230769	255.00	61
0.23	31.23	-31.00	-1143	0.1868131868	-7.6813186813	255.00	71
0.23	29.23	-29.00	-1289	0.1978021978	-9.2857142857	255.00	81
0.23	26.23	-26.00	-1449	0.2087912088	-11.0329670330	255.00	91
0.23	25.23	-25.00	-1604	0.2222222222	-12.7777777778	255.00	101
0.23	22.23	-22.00	-1762	0.2333333333	-13.8111111111	255.00	111
0.23	19.23	-19.00	-1924	0.2333333333	-14.5777777778	255.00	121
0.23	16.23	-16.00	-2089	0.2333333333	-15.1444444444	255.00	131
0.23	14.23	-14.00	-2249	0.2444444444	-15.4888888889	255.00	141
0.23	11.23	-11.00	-2414	0.2333333333	-15.7333333333	255.00	151
0.23	8.23	-8.00	-2579	0.2555555556	-15.9444444444	255.00	161
0.23	6.23	-6.00	-2741	0.2555555556	-16.1222222222	255.00	171
0.23	4.23	-4.00	-2906	0.2444444444	-16.1888888889	240.00	181
0.23	2.23	-2.00	-3069	0.2555555556	-16.2777777778	176.00	191
0.23	0.23	0.00	-3228	0.2444444444	-16.2888888889	112.00	201
0.23	-1.77	2.00	-3388	0.2333333333	-16.2666666667	-145.00	211
0.23	-3.77	4.00	-3542	0.2222222222	-16.1555555556	-218.00	221
0.23	-5.77	6.00	-3652	0.2222222222	-15.6111111111	-255.00	231
